Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,30,735,28.3,4.65,4.44,1796,0.98,0.02,0.01,0.06,0.23,8.61,8.04,4.65,4.25,1.28,3.39,0.11,8.68,0.46,0.04,0.38,37.03,,1.327,0.292,8.4,1.3,3.5,9.1,2.56,0.58,20
2019,30,831,28.4,4.83,4.49,4858,0.99,0.01,0.01,0.06,0.24,8.94,8.65,4.83,4.46,1.39,3.27,0.16,8.81,0.41,0.03,0.37,38.39,,1.334,0.298,8.7,1.4,3.3,8.9,2.69,0.6,20
2018,30,799,28.4,4.45,4.14,4862,0.99,0.01,0,0.06,0.26,8.94,8.44,4.45,4.12,1.15,3.23,0.19,8.48,0.4,0.03,0.38,38.08,,1.304,0.295,8.5,1.2,3.2,8.5,2.63,0.57,20
2017,30,755,28.5,4.65,4.35,4860,0.99,0.01,0.01,0.05,0.24,8.9,8.69,4.65,4.3,1.26,3.26,0.2,8.25,0.36,0.03,0.37,38.13,,1.342,0.3,8.8,1.3,3.3,8.3,2.53,0.58,20
2016,30,742,28.3,4.48,4.18,4856,0.98,0.02,0.01,0.06,0.26,8.92,8.71,4.48,4.14,1.16,3.11,0.19,8.03,0.34,0.03,0.37,38.01,,1.325,0.3,8.8,1.2,3.1,8.1,2.58,0.58,20
2015,30,735,28.4,4.25,3.95,4858,0.98,0.02,0.01,0.07,0.27,8.94,8.67,4.25,3.93,1.01,2.9,0.2,7.71,0.33,0.03,0.36,37.8,,1.294,0.299,8.7,1,2.9,7.8,2.66,0.58,20
2014,30,692,28.5,4.07,3.74,4860,0.98,0.02,0.01,0.07,0.26,8.97,8.56,4.07,3.73,0.86,2.88,0.2,7.7,0.34,0.03,0.35,37.85,,1.275,0.298,8.6,0.9,2.9,7.7,2.67,0.6,20
2013,30,679,28.4,4.17,3.86,4862,0.97,0.03,0.01,0.07,0.26,8.98,8.66,4.17,3.85,0.96,3.01,0.21,7.55,0.32,0.03,0.36,38.02,,1.3,0.297,8.7,1,3,7.6,2.51,0.56,20
2012,30,662,28.4,4.32,4.01,4860,0.97,0.03,0.01,0.06,0.26,8.92,8.65,4.32,3.97,1.02,3.03,0.22,7.5,0.31,0.03,0.32,37.9,,1.309,0.297,8.7,1,3.1,7.6,2.48,0.62,20
2011,30,662,28.3,4.28,3.94,4858,0.96,0.04,0.02,0.07,0.26,8.96,8.7,4.28,3.92,0.94,3.09,0.25,7.1,0.32,0.03,0.32,38.13,,1.316,0.295,8.7,0.9,3.1,7.1,2.3,0.63,20
2010,30,635,28.4,4.38,4.07,4860,0.97,0.03,0.01,0.07,0.25,8.91,8.76,4.38,4.03,0.95,3.25,0.25,7.06,0.32,0.04,0.34,38.18,,1.347,0.297,8.8,1,3.3,7.1,2.17,0.62,20
2009,30,664,28.4,4.61,4.31,4860,0.97,0.03,0.01,0.06,0.25,8.9,8.96,4.61,4.27,1.04,3.42,0.24,6.91,0.33,0.03,0.33,38.49,,1.39,0.299,9.1,1,3.5,7,2.02,0.59,20
2008,30,651,28.6,4.65,4.32,4856,0.97,0.03,0.01,0.06,0.24,8.93,9.06,4.65,4.28,1,3.36,0.27,6.77,0.34,0.03,0.32,38.64,,1.391,0.3,9.1,1,3.4,6.8,2.01,0.61,20
2007,30,666,28.7,4.8,4.46,4862,0.98,0.02,0.01,0.05,0.25,8.93,9.25,4.8,4.43,1.02,3.31,0.27,6.62,0.36,0.03,0.31,38.8,,1.406,0.302,9.3,1,3.3,6.7,2,0.61,20
2006,30,635,28.8,4.86,4.52,4858,0.97,0.03,0.01,0.05,0.25,8.9,9.28,4.86,4.47,1.11,3.26,0.29,6.52,0.37,0.03,0.31,38.71,,1.408,0.301,9.4,1.1,3.3,6.6,2,0.63,20
2005,30,606,29.2,4.59,4.28,4862,0.96,0.04,0.01,0.05,0.26,8.89,9.05,4.59,4.23,1.03,3.13,0.25,6.3,0.37,0.03,0.3,38.32,,1.369,0.295,9.2,1,3.2,6.4,2.02,0.63,20
2004,30,632,29.1,4.81,4.46,4856,0.97,0.03,0.01,0.05,0.25,8.94,9.17,4.81,4.42,1.12,3.34,0.28,6.55,0.38,0.03,0.3,38.83,,1.4,0.297,9.2,1.1,3.4,6.6,1.96,0.65,20
2003,30,612,28.7,4.73,4.39,4860,0.96,0.04,0.01,0.05,0.25,8.92,9.07,4.73,4.35,1.07,3.27,0.27,6.34,0.38,0.03,0.32,38.57,,1.383,0.294,9.1,1.1,3.3,6.4,1.94,0.65,20
2002,30,609,28.8,4.62,4.27,4852,0.96,0.04,0.02,0.06,0.25,8.92,8.92,4.62,4.23,1.04,3.35,0.3,6.47,0.36,0.03,0.31,38.46,,1.376,0.293,9,1.1,3.4,6.5,1.93,0.66,20
2001,30,591,28.7,4.78,4.41,4858,0.96,0.04,0.02,0.05,0.25,8.91,9.03,4.78,4.37,1.12,3.25,0.28,6.67,0.39,0.03,0.31,38.49,,1.379,0.296,9.1,1.1,3.3,6.7,2.05,0.69,20
2000,30,606,28.8,5.14,4.76,4858,0.95,0.05,0.01,0.04,0.24,8.9,9.31,5.14,4.71,1.17,3.75,0.25,6.45,0.32,0.03,0.31,39.16,,1.468,0.3,9.4,1.2,3.8,6.5,1.72,0.71,20
1999,30,585,28.8,5.08,4.7,4856,0.95,0.05,0.01,0.04,0.25,8.9,9.33,5.08,4.64,1.14,3.68,0.23,6.41,0.33,0.04,0.34,39.06,,1.463,0.302,9.4,1.2,3.7,6.5,1.74,0.72,19
1998,30,557,28.8,4.79,4.42,4864,0.94,0.06,0.02,0.05,0.26,8.93,9.15,4.79,4.39,1.04,3.38,0.22,6.56,0.33,0.04,0.33,38.71,,1.403,0.299,9.2,1,3.4,6.6,1.94,0.71,19
1997,28,534,28.5,4.77,4.38,4532,0.94,0.06,0.02,0.05,0.25,8.93,9.15,4.77,4.35,1.02,3.46,0.26,6.61,0.32,0.04,0.33,38.73,,1.412,0.301,9.2,1,3.5,6.7,1.91,0.71,19
1996,28,538,28.4,5.04,4.6,4534,0.94,0.06,0.02,0.04,0.25,8.95,9.33,5.04,4.57,1.09,3.55,0.3,6.46,0.31,0.04,0.34,39.1,,1.44,0.301,9.4,1.1,3.6,6.5,1.82,0.74,19
1995,28,552,28.3,4.85,4.45,4034,0.93,0.07,0.02,0.05,0.25,8.93,9.17,4.85,4.41,1.01,3.53,0.27,6.3,0.3,0.05,0.35,38.85,,1.421,0.298,9.2,1,3.6,6.4,1.79,0.72,19
1994,28,470,28.6,4.92,4.5,3200,0.92,0.08,0.02,0.04,0.24,8.93,9.29,4.92,4.47,1.03,3.48,0.32,6.18,0.27,0.05,0.36,38.9,,1.43,0.3,9.4,1,3.5,6.2,1.78,0.74,19
1993,28,507,28.5,4.6,4.18,4538,0.92,0.08,0.02,0.05,0.26,8.93,9.05,4.6,4.15,0.89,3.33,0.33,5.8,0.26,0.07,0.32,38.47,,1.387,0.294,9.1,0.9,3.4,5.8,1.74,0.77,19
1992,26,441,28.6,4.12,3.74,4212,0.9,0.1,0.03,0.07,0.26,8.98,8.68,4.12,3.73,0.72,3.25,0.31,5.59,0.23,0.05,0.31,38.12,,1.328,0.285,8.7,0.7,3.3,5.6,1.72,0.73,19
1991,26,475,28.3,4.31,3.91,4208,0.91,0.09,0.03,0.06,0.27,8.98,8.69,4.31,3.89,0.8,3.32,0.29,5.8,0.22,0.06,0.33,38.2,,1.338,0.285,8.7,0.8,3.3,5.8,1.74,0.74,19
1990,26,483,28.4,4.26,3.85,4210,0.9,0.1,0.03,0.06,0.26,8.92,8.75,4.26,3.82,0.79,3.29,0.33,5.67,0.2,0.07,0.32,38.08,,1.349,0.287,8.8,0.8,3.3,5.7,1.72,0.76,19
1989,26,449,28.6,4.13,3.7,4212,0.89,0.11,0.04,0.07,0.25,8.95,8.62,4.13,3.68,0.73,3.21,0.34,5.61,0.19,0.1,0.31,37.99,,1.321,0.283,8.7,0.7,3.2,5.6,1.75,0.8,19
1988,26,438,28.5,4.14,3.72,4200,0.85,0.15,0.04,0.07,0.25,8.97,8.63,4.14,3.71,0.76,3.09,0.33,5.56,0.22,0.22,0.3,37.95,,1.307,0.282,8.7,0.8,3.1,5.6,1.8,0.77,19
